year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode,party.pct
2000,INDIANA,IN,ALLEN,18003,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,70426,114320,20191203,TOTAL,61.60426871938418
2000,INDIANA,IN,BARTHOLOMEW,18005,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,16200,25769,20191203,TOTAL,62.86623462299662
2000,INDIANA,IN,BLACKFORD,18009,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2699,4893,20191203,TOTAL,55.16043327202126
2000,INDIANA,IN,DEARBORN,18029,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,11452,17650,20191203,TOTAL,64.88385269121814
2000,INDIANA,IN,DECATUR,18031,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6115,9171,20191203,TOTAL,66.67757060298769
2000,INDIANA,IN,DUBOIS,18037,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,10134,15504,20191203,TOTAL,65.36377708978328
2000,INDIANA,IN,ELKHART,18039,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,36756,54482,20191203,TOTAL,67.46448368268419
2000,INDIANA,IN,FLOYD,18043,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,16486,30030,20191203,TOTAL,54.8984348984349
2000,INDIANA,IN,FOUNTAIN,18045,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4408,7281,20191203,TOTAL,60.54113445955226
2000,INDIANA,IN,GRANT,18053,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,16153,26386,20191203,TOTAL,61.21807018873645
2000,INDIANA,IN,HENDRICKS,18063,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,28651,40221,20191203,TOTAL,71.23393252281147
2000,INDIANA,IN,HUNTINGTON,18069,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,10113,14620,20191203,TOTAL,69.17236662106703
2000,INDIANA,IN,JAY,18075,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4687,8030,20191203,TOTAL,58.368617683686175
2000,INDIANA,IN,JENNINGS,18079,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5732,9494,20191203,TOTAL,60.374973667579525
2000,INDIANA,IN,KOSCIUSKO,18085,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,19040,25284,20191203,TOTAL,75.30454042081949
2000,INDIANA,IN,LAGRANGE,18087,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5437,8333,20191203,TOTAL,65.24660986439457
2000,INDIANA,IN,LAPORTE,18091,PRESIDENT,AL GORE,DEMOCRAT,19736,39747,20191203,TOTAL,49.65406194178177
2000,INDIANA,IN,MARION,18097,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,137810,279903,20191203,TOTAL,49.234913523613535
2000,INDIANA,IN,NOBLE,18113,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,9103,14216,20191203,TOTAL,64.03348339898706
2000,INDIANA,IN,OWEN,18119,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4019,6503,20191203,TOTAL,61.80224511763801
2000,INDIANA,IN,PARKE,18121,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3841,6447,20191203,TOTAL,59.578098340313325
2000,INDIANA,IN,PORTER,18127,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,31157,59378,20191203,TOTAL,52.47229613661626
2000,INDIANA,IN,POSEY,18129,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6498,11110,20191203,TOTAL,58.487848784878494
2000,INDIANA,IN,RIPLEY,18137,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6988,10675,20191203,TOTAL,65.46135831381733
2000,INDIANA,IN,RUSH,18139,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4749,7284,20191203,TOTAL,65.19769357495882
2000,INDIANA,IN,ST. JOSEPH,18141,PRESIDENT,AL GORE,DEMOCRAT,47703,97474,20191203,TOTAL,48.93920430063402
2000,INDIANA,IN,SPENCER,18147,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5096,8987,20191203,TOTAL,56.704128185156335
2000,INDIANA,IN,STARKE,18149,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4349,8701,20191203,TOTAL,49.98276060222963
2000,INDIANA,IN,SWITZERLAND,18155,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1831,3239,20191203,TOTAL,56.52979314603272
2000,INDIANA,IN,TIPPECANOE,18157,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,26106,46295,20191203,TOTAL,56.390538935090184
